arc_length,p,U:0,U:1,velMag
24.315,0.43919,0.96188,2.496,2.6749260054065
24.384,0.43942,0.95984,2.4966,2.67475314479673
24.452,0.43965,0.9578,2.4971,2.67448859597494
24.521,0.43988,0.95576,2.4976,2.67422567065684
24.589,0.44011,0.95372,2.4981,2.67396436932133
24.658,0.44033,0.95169,2.4986,2.67370825186668
24.726,0.44056,0.94965,2.4991,2.67345019263498
24.795,0.43412,0.90918,2.3789,2.5467181788333
24.863,0.43365,0.90314,2.3668,2.53325957998781
24.932,0.43319,0.89709,2.3547,2.51979811852061
25,0.43272,0.89104,2.3426,2.50633737585346
25.069,0.43225,0.885,2.3306,2.49297440018946
25.137,0.43126,0.88255,2.3345,2.49575334368202
25.206,0.43017,0.88083,2.3418,2.50197696410259
25.274,0.42908,0.87911,2.349,2.50811391130866
25.343,0.42799,0.8774,2.3562,2.51426116384118
25.411,0.42689,0.87568,2.3634,2.52041167716705
25.48,0.4258,0.87396,2.3707,2.52666273404267
25.548,0.42471,0.87224,2.3779,2.53282668724096
25.617,0.42361,0.87053,2.3851,2.5390006874556
25.685,0.42252,0.86881,2.3923,2.5451778142401
25.754,0.42143,0.86709,2.3996,2.55145551168348
25.822,0.42034,0.86537,2.4068,2.55764569025891
25.891,0.41924,0.86365,2.414,2.56384229672966
25.959,0.41815,0.86194,2.4213,2.57014284692505
26.028,0.41706,0.86022,2.4285,2.57635220775421
26.096,0.41597,0.8585,2.4357,2.58256785777257
26.164,0.41487,0.85678,2.4429,2.58878975167934
26.233,0.41378,0.85507,2.4502,2.59511555521137
26.301,0.41269,0.85335,2.4574,2.60134983854537
26.37,0.41159,0.85163,2.4646,2.60759023178489
26.438,0.40959,0.84837,2.4637,2.60567637033074
26.507,0.4075,0.84496,2.4619,2.60286553851712
26.575,0.40541,0.84154,2.4601,2.60005414974381
26.644,0.40331,0.83813,2.4583,2.59724869562004
26.712,0.40122,0.83471,2.4565,2.59444272129874
26.781,0.39912,0.83129,2.4547,2.59163947224532
26.849,0.39703,0.82788,2.4529,2.58884215517285
26.918,0.39494,0.82446,2.4512,2.58613915549802
26.986,0.39284,0.82105,2.4494,2.58334733679
27.055,0.39075,0.81763,2.4476,2.5805550908477
27.123,0.38865,0.81421,2.4458,2.57776561465545
27.192,0.38656,0.8108,2.444,2.57498206595696
27.26,0.38447,0.80738,2.4422,2.57219814641096
27.329,0.38237,0.80397,2.4404,2.56942015266091
27.397,0.43977,0.79365,2.459,2.58390427889657
27.466,0.44197,0.78957,2.4579,2.58160670802119
27.534,0.44417,0.78548,2.4567,2.57921571808176
27.603,0.44637,0.7814,2.4556,2.5769278841287
27.671,0.44857,0.77732,2.4545,2.57464495268765
27.74,0.45077,0.77324,2.4533,2.57227156179125
27.808,0.45297,0.76916,2.4522,2.56999843299563
27.877,0.45517,0.76508,2.451,2.56763478836068
27.945,0.45737,0.761,2.4499,2.56537151500519
28.014,0.46187,0.75736,2.4475,2.56200125284903
28.082,0.46162,0.7528,2.4477,2.56084812708602
28.151,0.46137,0.74825,2.4478,2.55960991217412
28.219,0.46111,0.74369,2.4479,2.55837628704223
28.288,0.46086,0.73913,2.448,2.55715020225641
28.356,0.4632,0.73455,2.449,2.5567879658861
28.425,0.46581,0.72996,2.45,2.55643141930309
28.493,0.46841,0.72537,2.451,2.55608345656006
28.562,0.47101,0.72079,2.452,2.55574690141649
28.63,0.47362,0.7162,2.453,2.55541609919011
28.699,0.47622,0.71162,2.454,2.55509667613576
28.767,0.47882,0.70703,2.455,2.55478304771658
28.836,0.48143,0.70244,2.456,2.55447801979191
28.904,0.48403,0.69786,2.457,2.55418432764748
28.973,0.48663,0.69327,2.458,2.55389649220559
29.041,0.48923,0.68868,2.459,2.55361726623235
29.11,0.49184,0.6841,2.46,2.55334933176015
29.178,0.49444,0.67951,2.4609,2.55299092244763
29.247,0.49704,0.67493,2.4619,2.55274011895062
29.315,0.49965,0.67034,2.4629,2.5524952743541
29.384,0.50225,0.66575,2.4639,2.5522590527805
29.452,0.50485,0.66117,2.4649,2.552034047363
29.521,0.50746,0.65658,2.4659,2.55181506116725
29.589,0.51006,0.65199,2.4669,2.55160470490631
29.658,0.51212,0.64695,2.4652,2.54867717502629
29.726,0.514,0.64175,2.4625,2.54474936143032
29.795,0.51587,0.63655,2.4598,2.54082898725987
29.863,0.51775,0.63135,2.4571,2.53691608700406
29.932,0.51962,0.62615,2.4544,2.53301069529917
30,0.5215,0.62095,2.4517,2.52911284692874
30.069,0.52337,0.61575,2.449,2.52522257682367
30.137,0.52525,0.61055,2.4463,2.52133992006235
30.206,0.51743,0.6073,2.4444,2.51871091036665
30.274,0.515,0.60296,2.4421,2.51543498655799
30.343,0.51256,0.59863,2.4397,2.51206965805091
30.411,0.51013,0.59429,2.4374,2.50880436943577
30.48,0.5077,0.58995,2.4351,2.50554445430529
30.548,0.50527,0.58562,2.4327,2.50219505123002
30.617,0.50283,0.58128,2.4304,2.49894589745356
30.685,0.5004,0.57695,2.428,2.49560720116368
30.754,0.49797,0.57261,2.4257,2.49236889366322
30.822,0.49554,0.56827,2.4234,2.48913606556572
30.891,0.4931,0.56394,2.421,2.48581361401051
30.959,0.49067,0.5596,2.4187,2.48259176064048
31.028,0.48824,0.55527,2.4163,2.47928023081297
31.096,0.48581,0.55093,2.414,2.47606943862647
31.165,0.48338,0.54659,2.4117,2.472864233657
31.233,0.48094,0.54226,2.4093,2.46956927369936
31.302,0.47851,0.53792,2.407,2.46637526066088
31.37,0.47608,0.53359,2.4046,2.46309144127862
31.438,0.47365,0.52925,2.4023,2.45990870816378
31.507,0.47121,0.52491,2.4,2.45673167197804
31.575,0.46878,0.52058,2.3976,2.45346475344562
31.644,0.46635,0.51624,2.3953,2.4502991302288
31.712,0.46392,0.51191,2.3929,2.4470435750309
31.781,0.46148,0.50757,2.3906,2.44388945431253
31.849,0.45905,0.50323,2.3883,2.44074114213286
31.918,0.45662,0.4989,2.3859,2.43750282461375
31.986,0.45419,0.49456,2.3836,2.43436615027403
32.055,0.45175,0.49022,2.3812,2.43113740631829
32.123,0.44932,0.48589,2.3789,2.42801447732504
32.192,0.44689,0.48155,2.3766,2.42489545393198
32.26,0.44446,0.47722,2.3742,2.42168630677055
32.329,0.44203,0.47288,2.3719,2.41857914991426
32.397,0.43959,0.46854,2.3695,2.41537988349659
32.466,0.43716,0.46421,2.3672,2.41228662561065
32.534,0.43473,0.45987,2.3649,2.4091974653191
32.603,0.4323,0.45554,2.3625,2.40601806759633
32.671,0.42986,0.4512,2.3602,2.40294100635034
32.74,0.42743,0.44686,2.3578,2.39977180156781
32.808,0.425,0.44253,2.3555,2.39670879559866
32.877,0.42249,0.43816,2.3532,2.39364459049375
32.945,0.42289,0.43495,2.3502,2.39010910681918
33.014,0.42329,0.43175,2.3473,2.38667663341727
33.082,0.42369,0.42854,2.3443,2.38314687369453
33.151,0.42409,0.42533,2.3414,2.37971838016602
33.219,0.42449,0.42212,2.3384,2.37619440585151
33.288,0.42413,0.41566,2.3406,2.37722140230985
33.356,0.42529,0.41106,2.3362,2.37208784904775
33.425,0.42645,0.40646,2.3317,2.36686176647476
33.493,0.42761,0.40187,2.3273,2.36174189675756
33.562,0.42878,0.39727,2.3229,2.35662637320811
33.63,0.42994,0.39267,2.3185,2.35151695271372
33.699,0.4311,0.38808,2.314,2.34631670632931
33.767,0.43226,0.38348,2.3096,2.34121956902807
33.836,0.43343,0.37888,2.3052,2.33612865536126
33.904,0.43459,0.37428,2.3008,2.33104400610542
33.973,0.43575,0.36969,2.2964,2.32596725172561
34.041,0.43691,0.36509,2.2919,2.32079648355904
34.11,0.43807,0.36049,2.2875,2.31573083282578
34.178,0.43924,0.35589,2.2831,2.31067161277841
34.247,0.4404,0.3513,2.2787,2.30562038939631
